latitude,longitude,altitude,x,y,land
31.697622,34.463840,-38.751934,-100.000000,-100.000000,-1
31.697711,34.474556,-36.981483,-99.990190,-98.995038,-1
31.697798,34.485272,-35.816212,-99.980478,-97.990074,-1
31.697885,34.495988,-35.000000,-99.970866,-96.985108,-1
31.697971,34.506705,-34.489342,-99.961353,-95.980141,-1
31.698057,34.517421,-33.308701,-99.951939,-94.975171,-1
31.698141,34.528137,-27.543554,-99.942623,-93.970200,-1
31.698224,34.538854,-16.499111,-99.933408,-92.965226,-1
31.698307,34.549570,-4.343092,-99.924291,-91.960251,-1
31.698388,34.560286,0.000000,-99.915273,-90.955275,-1
31.698469,34.571003,12.512950,-99.906354,-89.950296,-1
31.698549,34.581719,43.631817,-99.897534,-88.945316,-1
31.698627,34.592435,31.934940,-99.888814,-87.940334,-1
31.698705,34.603152,31.660490,-99.880192,-86.935350,-1
31.698782,34.613868,32.158119,-99.871670,-85.930365,-1
31.698859,34.624585,40.400791,-99.863247,-84.925378,-1
31.698934,34.635301,38.927460,-99.854922,-83.920389,-1
31.699008,34.646018,31.749228,-99.846697,-82.915399,-1
31.699082,34.656734,50.058769,-99.838571,-81.910407,-1
31.699154,34.667451,64.734360,-99.830544,-80.905414,-1
31.699226,34.678167,69.026329,-99.822616,-79.900419,-1
31.699297,34.688884,67.430412,-99.814788,-78.895422,-1
31.699367,34.699600,50.404312,-99.807058,-77.890424,-1
31.699436,34.710317,51.466602,-99.799427,-76.885424,-1
31.699504,34.721034,54.010700,-99.791896,-75.880423,-1
31.699571,34.731750,59.068195,-99.784463,-74.875421,-1
31.699637,34.742467,67.376007,-99.777130,-73.870417,-1
31.699703,34.753184,75.505539,-99.769896,-72.865411,-1
31.699767,34.763900,92.066193,-99.762761,-71.860404,-1
31.699831,34.774617,101.050888,-99.755725,-70.855396,-1
31.699894,34.785334,94.866310,-99.748788,-69.850387,-1
31.699956,34.796050,98.394020,-99.741950,-68.845376,-1
31.700017,34.806767,103.209343,-99.735211,-67.840363,-1
31.700077,34.817484,108.768806,-99.728571,-66.835350,-1
31.700136,34.828201,122.446289,-99.722030,-65.830335,-1
31.700194,34.838917,126.879219,-99.715589,-64.825319,-1
31.700251,34.849634,170.812302,-99.709247,-63.820301,-1
31.700308,34.860351,174.713593,-99.703003,-62.815283,-1
31.700363,34.871068,154.325073,-99.696859,-61.810263,-1
31.700418,34.881785,174.842255,-99.690814,-60.805242,-1
31.700472,34.892501,173.959381,-99.684868,-59.800220,-1
31.700525,34.903218,189.112213,-99.679021,-58.795196,-1
31.700577,34.913935,208.270767,-99.673273,-57.790172,-1
31.700628,34.924652,253.077271,-99.667624,-56.785146,-1
31.700678,34.935369,330.138184,-99.662074,-55.780120,-1
31.700727,34.946086,239.832047,-99.656624,-54.775092,-1
31.700776,34.956803,287.512878,-99.651272,-53.770063,-1
31.700823,34.967520,332.798492,-99.646020,-52.765033,-1
31.700870,34.978237,368.777161,-99.640867,-51.760002,-1
31.700915,34.988954,391.902008,-99.635812,-50.754970,-1
31.700960,34.999671,388.470398,-99.630857,-49.749937,-1
31.701004,35.010388,357.664886,-99.626001,-48.744903,-1
31.701047,35.021104,430.137482,-99.621244,-47.739869,-1
31.701089,35.031821,544.058472,-99.616587,-46.734833,-1
31.701131,35.042538,491.227844,-99.612028,-45.729796,-1
31.701171,35.053255,512.290894,-99.607568,-44.724759,-1
31.701210,35.063972,639.676880,-99.603208,-43.719720,-1
31.701249,35.074689,644.647888,-99.598946,-42.714681,-1
31.701287,35.085407,691.116394,-99.594784,-41.709641,-1
31.701323,35.096124,600.642212,-99.590721,-40.704600,-1
31.701359,35.106841,675.624268,-99.586757,-39.699559,-1
31.701394,35.117558,698.422791,-99.582892,-38.694516,-1
31.701428,35.128275,766.766663,-99.579126,-37.689473,-1
31.701461,35.138992,817.623901,-99.575459,-36.684429,-1
31.701494,35.149709,924.318970,-99.571891,-35.679385,-1
31.701525,35.160426,840.528564,-99.568423,-34.674339,-1
31.701555,35.171143,871.333557,-99.565053,-33.669293,-1
31.701585,35.181860,818.211426,-99.561783,-32.664247,-1
31.701614,35.192577,787.436340,-99.558612,-31.659200,-1
31.701641,35.203294,702.545654,-99.555539,-30.654152,-1
31.701668,35.214012,664.876160,-99.552566,-29.649103,-1
31.701694,35.224729,612.233826,-99.549692,-28.644054,-1
31.701719,35.235446,587.719116,-99.546917,-27.639005,-1
31.701744,35.246163,588.165161,-99.544242,-26.633955,-1
31.701767,35.256880,598.469543,-99.541665,-25.628904,-1
31.701789,35.267597,652.773315,-99.539187,-24.623853,-1
31.701811,35.278314,572.580078,-99.536809,-23.618801,-1
31.701831,35.289031,468.719391,-99.534529,-22.613749,-1
31.701851,35.299749,445.276550,-99.532349,-21.608697,-1
31.701870,35.310466,439.562408,-99.530268,-20.603644,-1
31.701888,35.321183,340.381256,-99.528286,-19.598591,-1
31.701905,35.331900,218.641190,-99.526403,-18.593537,-1
31.701921,35.342617,183.134171,-99.524619,-17.588483,-1
31.701936,35.353335,112.329689,-99.522934,-16.583429,-1
31.701951,35.364052,78.288727,-99.521349,-15.578374,-1
31.701964,35.374769,52.356274,-99.519862,-14.573319,-1
31.701977,35.385486,44.402569,-99.518475,-13.568264,-1
31.701988,35.396203,70.119827,-99.517186,-12.563208,-1
31.701999,35.406921,100.415825,-99.515997,-11.558153,-1
31.702009,35.417638,115.750900,-99.514907,-10.553097,-1
31.702018,35.428355,-4.637104,-99.513916,-9.548040,-1
31.702026,35.439072,-74.774513,-99.513024,-8.542984,-1
31.702033,35.449789,-393.227356,-99.512231,-7.537927,-1
31.702039,35.460507,-415.000000,-99.511537,-6.532871,-1
31.702045,35.471224,-415.000000,-99.510943,-5.527814,-1
31.702049,35.481941,-415.000000,-99.510447,-4.522757,-1
31.702053,35.492658,-415.000000,-99.510051,-3.517700,-1
31.702056,35.503375,-415.000000,-99.509753,-2.512643,-1
31.702057,35.514093,-415.000000,-99.509555,-1.507586,-1
31.702058,35.524810,-415.000000,-99.509456,-0.502529,-1
31.702058,35.535527,-415.000000,-99.509456,0.502529,-1
31.702057,35.546244,-415.000000,-99.509555,1.507586,-1
31.702056,35.556961,-415.000000,-99.509753,2.512643,-1
31.702053,35.567679,-415.000000,-99.510051,3.517700,-1
31.702049,35.578396,-415.000000,-99.510447,4.522757,-1
31.702045,35.589113,-283.167023,-99.510943,5.527814,-1
31.702039,35.599830,-88.418129,-99.511537,6.532871,-1
31.702033,35.610547,84.421494,-99.512231,7.537927,-1
31.702026,35.621265,157.052872,-99.513024,8.542984,-1
31.702018,35.631982,192.232544,-99.513916,9.548040,-1
31.702009,35.642699,217.892761,-99.514907,10.553097,-1
31.701999,35.653416,257.591095,-99.515997,11.558153,-1
31.701988,35.664133,313.010437,-99.517186,12.563208,-1
31.701977,35.674851,431.830688,-99.518475,13.568264,-1
31.701964,35.685568,530.445007,-99.519862,14.573319,-1
31.701951,35.696285,521.734070,-99.521349,15.578374,-1
31.701936,35.707002,581.611755,-99.522934,16.583429,-1
31.701921,35.717719,681.571594,-99.524619,17.588483,-1
31.701905,35.728437,803.833679,-99.526403,18.593537,-1
31.701888,35.739154,837.704590,-99.528286,19.598591,-1
31.701870,35.749871,799.636047,-99.530268,20.603644,-1
31.701851,35.760588,803.562012,-99.532349,21.608697,-1
31.701831,35.771305,785.591675,-99.534529,22.613749,-1
31.701811,35.782022,770.906311,-99.536809,23.618801,-1
31.701789,35.792740,746.117310,-99.539187,24.623853,-1
31.701767,35.803457,736.387634,-99.541665,25.628904,-1
31.701744,35.814174,739.519348,-99.544242,26.633955,-1
31.701719,35.824891,752.936340,-99.546917,27.639005,-1
31.701694,35.835608,769.653748,-99.549692,28.644054,-1
31.701668,35.846325,794.838745,-99.552566,29.649103,-1
31.701641,35.857042,780.341125,-99.555539,30.654152,-1
31.701614,35.867760,745.402954,-99.558612,31.659200,-1
31.701585,35.878477,746.129150,-99.561783,32.664247,-1
31.701555,35.889194,731.572632,-99.565053,33.669293,-1
31.701525,35.899911,735.756165,-99.568423,34.674339,-1
31.701494,35.910628,719.390686,-99.571891,35.679385,-1
31.701461,35.921345,718.722046,-99.575459,36.684429,-1
31.701428,35.932062,703.492554,-99.579126,37.689473,-1
31.701394,35.942779,698.485168,-99.582892,38.694516,-1
31.701359,35.953496,708.000793,-99.586757,39.699559,-1
31.701323,35.964213,711.260864,-99.590721,40.704600,-1
31.701287,35.974930,715.852600,-99.594784,41.709641,-1
31.701249,35.985647,714.957642,-99.598946,42.714681,-1
31.701210,35.996364,704.511353,-99.603208,43.719720,-1
31.701171,36.007081,707.813660,-99.607568,44.724759,-1
31.701131,36.017798,706.343933,-99.612028,45.729796,-1
31.701089,36.028515,709.869324,-99.616587,46.734833,-1
31.701047,36.039232,709.127747,-99.621244,47.739869,-1
31.701004,36.049949,717.731201,-99.626001,48.744903,-1
31.700960,36.060666,721.368896,-99.630857,49.749937,-1
